Gene_name,Ciliary Gene,Ciliary TF interactions
PIAS2,Unknown,YES
PIAS4,Unknown,YES
PIBF1,YES,YES
PICALM,Unknown,YES
PIGG,Unknown,YES
PIH1D2,Unknown,YES
PIK3C2G,Unknown,YES
PIK3CB,Unknown,YES
PIK3CG,Unknown,YES
PIP5K1B,Unknown,YES
PITPNC1,Unknown,YES
PKHD1L1,Unknown,YES
PKIA,Unknown,YES
PKP2,Unknown,YES
PKP4,Unknown,YES
PLA2G4A,Unknown,YES
PLCB4,Unknown,YES
PLCH1,Unknown,YES
PLCXD2,Unknown,YES
PLD5,Unknown,YES
PLEKHA5,Unknown,YES
PLEKHS1,Unknown,YES
PLPP1,Unknown,YES
PLS1,Unknown,YES
PLSCR1,Unknown,YES
PLXNA2,Unknown,YES
PLXNC1,Unknown,YES
PNISR,Unknown,YES
PNKP,Unknown,YES
POGLUT3,Unknown,YES
POLD3,Unknown,YES
POLH,Unknown,YES
POLR1G,Unknown,YES
POLR3B,Unknown,YES
PPARD,Unknown,YES
PPDPF,Unknown,YES
PPIL6,Unknown,YES
PPM1E,Unknown,YES
PPME1,Unknown,YES
PPP1R7,Unknown,YES
PPP1R9A,Unknown,YES
PPP1R12A,Unknown,YES
PPP1R12B,Unknown,YES
PPP1R15B,Unknown,YES
PPP1R36,Unknown,YES
PPP1R42,YES,YES
PPP2R3A,Unknown,YES
PPP2R5A,Unknown,YES
PPP2R5E,Unknown,YES
PPP3CA,Unknown,YES
PPP4R4,Unknown,YES
PRDM5,Unknown,YES
PRDX6,Unknown,YES
PREX2,Unknown,YES
PRG3,Unknown,YES
PRICKLE3,YES,YES
PRKAR2B,Unknown,YES
PRKCA,Unknown,YES
PRKCQ,Unknown,YES
PRKCSH,Unknown,YES
PRKY,Unknown,YES
PRMT3,Unknown,YES
PROM1,YES,YES
PROSER2,Unknown,YES
PRPF4B,Unknown,YES
PRPS1,Unknown,YES
PRTFDC1,Unknown,YES
PRXL2A,Unknown,YES
PSD3,Unknown,YES
PSEN1,Unknown,YES
PSIP1,Unknown,YES
PSMB4,Unknown,YES
PSMB5,Unknown,YES
PSMC5,Unknown,YES
PSMD12,Unknown,YES
PSTPIP2,Unknown,YES
PTGER4,YES,YES
PTK2,YES,YES
PTMA,Unknown,YES
PTPDC1,YES,YES
PTPN1,Unknown,YES
PTPN3,Unknown,YES
PTPN4,Unknown,YES
PTPN9,Unknown,YES
PTPN12,Unknown,YES
PTPN13,Unknown,YES
PTPRG,Unknown,YES
PTPRK,Unknown,YES
PTPRS,Unknown,YES
PWWP2A,Unknown,YES
PYROXD2,Unknown,YES
PYY,Unknown,YES
QKI,Unknown,YES
RAB5C,Unknown,YES
RAB31,Unknown,YES
RAB36,Unknown,YES
RABGAP1L,Unknown,YES
RABL2B,YES,YES
RAD21,Unknown,YES
RAD51B,Unknown,YES
RALGPS2,Unknown,YES
RAP1GAP2,Unknown,YES
RAPGEF2,Unknown,YES
RARB,Unknown,YES
RASA2,Unknown,YES
RASAL2,Unknown,YES
RASSF1,Unknown,YES
RASSF3,Unknown,YES
RAVER2,Unknown,YES
RB1CC1,Unknown,YES
RBFOX2,Unknown,YES
RBL2,Unknown,YES
RBM3,Unknown,YES
RBM5,Unknown,YES
RBM11,Unknown,YES
RBM26,Unknown,YES
RBM33,Unknown,YES
RBM45,Unknown,YES
RBMS2,Unknown,YES
RBMS3,Unknown,YES
RBPMS,Unknown,YES
RCAN1,Unknown,YES
RDH8,Unknown,YES
REEP3,Unknown,YES
RERE,Unknown,YES
RERG,Unknown,YES
REV3L,Unknown,YES
REXO5,Unknown,YES
RFX2,YES,YES
RFX3,YES,YES
RFX7,YES,YES
RGCC,Unknown,YES
RGS3,Unknown,YES
RGS6,Unknown,YES
RGS22,Unknown,YES
RGSL1,Unknown,YES
RHBDL2,Unknown,YES
RHO,YES,YES
RHOA,Unknown,YES
RIBC1,Unknown,YES
RIBC2,Unknown,YES
RIC8B,Unknown,YES
RILPL2,YES,YES
RIMS2,Unknown,YES
RNF32,Unknown,YES
RNF125,Unknown,YES
RNF144B,Unknown,YES
RNF150,Unknown,YES
RNF169,Unknown,YES
RNF170,Unknown,YES
RNF220,Unknown,YES
RNLS,Unknown,YES
RNPC3,Unknown,YES
ROCK1,Unknown,YES
ROPN1L,YES,YES
ROR1,Unknown,YES
ROS1,Unknown,YES
RP1,YES,YES
RPAP2,Unknown,YES
RPGR,YES,YES
RPGRIP1L,YES,YES
RPL13,Unknown,YES
RPL15,Unknown,YES
RPL18A,Unknown,YES
RPL31,Unknown,YES
RPL35A,Unknown,YES
RPLP0,Unknown,YES
RPLP1,Unknown,YES
RPS2,Unknown,YES
RPS6KA3,Unknown,YES
RPS7,Unknown,YES
RPS9,Unknown,YES
RPS14,Unknown,YES
RPS18,Unknown,YES
RPS25,Unknown,YES
RRBP1,Unknown,YES
RSPH1,YES,YES
RSPH3,YES,YES
RSPH4A,YES,YES
RSPH9,YES,YES
RSPH10B,Unknown,YES
RSPH14,Unknown,YES
RTKN2,Unknown,YES
RTN1,Unknown,YES
RUNX1,Unknown,YES
RUNX2,Unknown,YES
RUVBL1,YES,YES
RXRB,Unknown,YES
RYR1,Unknown,YES
RYR2,Unknown,YES
S100A10,Unknown,YES
S100A13,Unknown,YES
S100P,Unknown,YES
S100Z,Unknown,YES
SANBR,Unknown,YES
SARAF,Unknown,YES
SASS6,YES,YES
SATB1,Unknown,YES
SAXO2,Unknown,YES
SCFD2,Unknown,YES
SCG5,Unknown,YES
SCLT1,YES,YES
SCN2A,Unknown,YES
SCNN1A,Unknown,YES
SDCCAG8,YES,YES
SDR42E2,Unknown,YES
SEMA3E,Unknown,YES
SEPTIN8,Unknown,YES
SERF2,Unknown,YES
SERINC1,Unknown,YES
SERPINB8,Unknown,YES
SERPINI2,Unknown,YES
SESN1,Unknown,YES
SESN3,Unknown,YES
SETBP1,Unknown,YES
SEZ6L,Unknown,YES
SF3B1,Unknown,YES
SFI1,Unknown,YES
SFMBT2,Unknown,YES
SFTPB,Unknown,YES
SFTPC,Unknown,YES
SH3BGRL2,Unknown,YES
SHANK2,Unknown,YES
SHQ1,Unknown,YES
SHROOM3,Unknown,YES
SHTN1,Unknown,YES
SIDT1,Unknown,YES
SIPA1L1,Unknown,YES
SLC1A1,Unknown,YES
SLC2A10,Unknown,YES
SLC2A13,Unknown,YES
SLC3A1,Unknown,YES
SLC4A8,Unknown,YES
SLC7A11,Unknown,YES
SLC9A9,Unknown,YES
SLC10A1,Unknown,YES
SLC10A7,Unknown,YES
SLC13A1,Unknown,YES
SLC14A2,Unknown,YES
SLC15A2,Unknown,YES
SLC16A7,Unknown,YES
SLC22A15,Unknown,YES
SLC22A23,Unknown,YES
SLC24A3,Unknown,YES
SLC25A4,Unknown,YES
SLC25A16,Unknown,YES
SLC29A4,Unknown,YES
SLC30A9,Unknown,YES
SLC35A2,Unknown,YES
SLC43A3,Unknown,YES
SLC44A1,Unknown,YES
SLC44A3,Unknown,YES
SLC66A2,Unknown,YES
SLCO3A1,Unknown,YES
SLCO4C1,Unknown,YES
SMAD1,Unknown,YES
SMAP1,Unknown,YES
SMC1A,Unknown,YES
SMURF2,Unknown,YES
SNRNP70,Unknown,YES
SNRPB2,Unknown,YES
SNTB1,Unknown,YES
SNTN,Unknown,YES
SNX24,Unknown,YES
SNX30,Unknown,YES
SOAT2,Unknown,YES
SOCS3,Unknown,YES
SON,Unknown,YES
SORBS1,Unknown,YES
SORBS2,Unknown,YES
SORBS3,Unknown,YES
SOX5,Unknown,YES
SOX6,Unknown,YES
SPA17,YES,YES
SPAG1,YES,YES
SPAG6,YES,YES
SPAG9,Unknown,YES
SPAG16,YES,YES
SPAG17,YES,YES
SPART,Unknown,YES
SPATA1,Unknown,YES
SPATA4,Unknown,YES
SPATA6,Unknown,YES
SPATA6L,Unknown,YES
SPATA7,YES,YES
SPATA13,Unknown,YES
SPATA17,Unknown,YES
SPATA18,Unknown,YES
SPATS1,Unknown,YES
SPEF1,YES,YES
SPEF2,YES,YES
SPEN,Unknown,YES
SPICE1,Unknown,YES
SPINK1,Unknown,YES
SPPL2B,Unknown,YES
SQLE,Unknown,YES
SRSF7,Unknown,YES
SSBP2,Unknown,YES
SSBP4,Unknown,YES
SSX2IP,YES,YES
ST7,Unknown,YES
ST8SIA4,Unknown,YES
STAB1,Unknown,YES
STARD13,Unknown,YES
STIL,YES,YES
STK10,Unknown,YES
STK11IP,Unknown,YES
STK31,Unknown,YES
STK33,Unknown,YES
STK38,Unknown,YES
STK39,Unknown,YES
STMND1,Unknown,YES
STOM,Unknown,YES
STOX1,Unknown,YES
STOX2,Unknown,YES
STPG1,Unknown,YES
STPG2,Unknown,YES
STRBP,Unknown,YES
STRIP2,Unknown,YES
STT3B,Unknown,YES
STX18,Unknown,YES
STX19,Unknown,YES
STXBP4,Unknown,YES
SUDS3,Unknown,YES
SUGT1,Unknown,YES
SULT1C2,Unknown,YES
SYBU,Unknown,YES
SYCE2,Unknown,YES
SYNCRIP,Unknown,YES
SYNE1,YES,YES
SYNGAP1,Unknown,YES
SYNM,Unknown,YES
SYT2,Unknown,YES
TACC2,Unknown,YES
TAF1B,Unknown,YES
TAF1D,Unknown,YES
TAF8,Unknown,YES
TAFA3,Unknown,YES
TANC1,Unknown,YES
TASP1,Unknown,YES
TATDN1,Unknown,YES
TBATA,Unknown,YES
TBC1D8,Unknown,YES
TBC1D9B,Unknown,YES
TBC1D14,Unknown,YES
TBC1D19,Unknown,YES
TBC1D31,Unknown,YES
TBC1D32,YES,YES
TBCE,Unknown,YES
TBCK,Unknown,YES
TBL1X,Unknown,YES
TCEANC2,Unknown,YES
TCERG1L,Unknown,YES
TCP1,Unknown,YES
TCTN1,YES,YES
TCTN3,YES,YES
TDRD3,Unknown,YES
TDRP,Unknown,YES
TEAD1,Unknown,YES
TEC,Unknown,YES
TECR,Unknown,YES
TECTA,Unknown,YES
TEKT1,YES,YES
TEKT2,YES,YES
TEKT3,Unknown,YES
TEKT4,YES,YES
TENM3,Unknown,YES
TENM4,Unknown,YES
TESK2,Unknown,YES
TEX9,Unknown,YES
TEX26,Unknown,YES
TEX47,Unknown,YES
TFCP2,Unknown,YES
TFDP2,Unknown,YES
TGM1,Unknown,YES
THAP12,Unknown,YES
THRB,Unknown,YES
THSD4,Unknown,YES
THSD7A,Unknown,YES
THUMPD2,Unknown,YES
TIAM1,Unknown,YES
TIMELESS,Unknown,YES
TLL1,Unknown,YES
TLN2,Unknown,YES
TMC5,Unknown,YES
TMED10,Unknown,YES
TMEM63C,Unknown,YES
TMEM67,YES,YES
TMEM106A,Unknown,YES
TMEM135,Unknown,YES
TMEM175,Unknown,YES
TMEM212,Unknown,YES
TMEM231,YES,YES
TMEM232,Unknown,YES
TMEM244,Unknown,YES
TMIE,Unknown,YES
TMOD1,Unknown,YES
TMPRSS13,Unknown,YES
TNFRSF19,Unknown,YES
TNIK,Unknown,YES
TNIP3,Unknown,YES
TNKS2,Unknown,YES
TNNT1,Unknown,YES
TNPO1,YES,YES
TNRC6A,Unknown,YES
TOGARAM1,YES,YES
TOGARAM2,Unknown,YES
TOMM7,Unknown,YES
TOX,Unknown,YES
TP53BP2,Unknown,YES
TPGS1,Unknown,YES
TPK1,Unknown,YES
TPPP3,Unknown,YES
TPT1P8,Unknown,YES
TRA2A,Unknown,YES
TRAF3,Unknown,YES
TRAF3IP1,YES,YES
TRAF6,Unknown,YES
TRAK1,Unknown,YES
TRAPPC9,YES,YES
TRIM35,Unknown,YES
TRIM37,Unknown,YES
TRIM44,Unknown,YES
TRIQK,Unknown,YES
TRIT1,Unknown,YES
TRMT1L,Unknown,YES
TSGA10,YES,YES
TSNAXIP1,Unknown,YES
TSPAN12,Unknown,YES
TTC6,YES,YES
TTC7B,Unknown,YES
TTC8,YES,YES
TTC12,YES,YES
TTC21A,Unknown,YES
TTC23,YES,YES
TTC23L,Unknown,YES
TTC26,YES,YES
TTC29,YES,YES
TTC34,Unknown,YES
TTLL5,YES,YES
TTLL6,YES,YES
TTLL7,Unknown,YES
TTLL9,YES,YES
TTLL10,Unknown,YES
TTLL11,Unknown,YES
TUBB2A,YES,YES
TUBGCP5,YES,YES
TULP3,YES,YES
TUSC3,Unknown,YES
TXNIP,Unknown,YES
UBC,Unknown,YES
UBE2E2,Unknown,YES
UBE2E3,Unknown,YES
UBE2H,Unknown,YES
UBE2K,Unknown,YES
UBE2U,Unknown,YES
UBR1,Unknown,YES
UBR2,Unknown,YES
UBR3,Unknown,YES
UBXN4,Unknown,YES
UBXN11,Unknown,YES
ULK4,YES,YES
UMAD1,Unknown,YES
UNC5D,Unknown,YES
UNC13B,Unknown,YES
UPF2,Unknown,YES
USH2A,YES,YES
USP6NL,Unknown,YES
USP25,Unknown,YES
USP31,Unknown,YES
USP34,Unknown,YES
USP54,Unknown,YES
VAMP8,Unknown,YES
VEPH1,Unknown,YES
VPS13A,Unknown,YES
VPS13B,Unknown,YES
VTI1A,Unknown,YES
VWA3A,Unknown,YES
VWA3B,Unknown,YES
WARS2,Unknown,YES
WDPCP,YES,YES
WDR3,Unknown,YES
WDR17,Unknown,YES
WDR19,YES,YES
WDR27,Unknown,YES
WDR31,Unknown,YES
WDR35,YES,YES
WDR49,Unknown,YES
WDR64,Unknown,YES
WDR73,Unknown,YES
WDR90,YES,YES
WDR93,Unknown,YES
WFDC2,Unknown,YES
WHRN,YES,YES
WNK1,Unknown,YES
WNT6,Unknown,YES
WWOX,Unknown,YES
XPNPEP3,YES,YES
XPOT,Unknown,YES
XRRA1,Unknown,YES
YIPF3,Unknown,YES
YPEL1,Unknown,YES
YWHAB,Unknown,YES
ZBBX,Unknown,YES
ZBTB16,Unknown,YES
ZBTB20,Unknown,YES
ZBTB22,Unknown,YES
ZBTB38,Unknown,YES
ZC2HC1A,Unknown,YES
ZC2HC1C,Unknown,YES
ZC3H12C,Unknown,YES
ZDHHC1,Unknown,YES
ZDHHC8,Unknown,YES
ZDHHC13,Unknown,YES
ZFAND3,Unknown,YES
ZFAND4,Unknown,YES
ZFC3H1,Unknown,YES
ZFP36L1,Unknown,YES
ZMYM2,Unknown,YES
ZMYND10,YES,YES
ZMYND12,Unknown,YES
ZNF385B,Unknown,YES
ZNF638,Unknown,YES
ZNF667,Unknown,YES
ZNF704,Unknown,YES
ZNF770,Unknown,YES
ZP1,Unknown,YES
ZSWIM2,Unknown,YES
ZSWIM6,Unknown,YES
ZYG11B,Unknown,YES
