Gene_name,Ciliary Gene,Ciliary TF interactions
CCDC152,Unknown,YES
CCDC158,Unknown,YES
CCDC162P,Unknown,YES
CCDC170,Unknown,YES
CCDC171,Unknown,YES
CCDC173,Unknown,YES
CCDC175,Unknown,YES
CCDC180,Unknown,YES
CCDC181,YES,YES
CCDC186,Unknown,YES
CCDC191,Unknown,YES
CCNA1,Unknown,YES
CCNO,YES,YES
CCP110,YES,YES
CCR7,Unknown,YES
CCSER1,Unknown,YES
CD9,Unknown,YES
CD44,Unknown,YES
CD177,Unknown,YES
CDC5L,Unknown,YES
CDC14A,YES,YES
CDC20B,YES,YES
CDH13,Unknown,YES
CDH18,Unknown,YES
CDHR3,Unknown,YES
CDHR4,Unknown,YES
CDK6,Unknown,YES
CDK7,Unknown,YES
CDKL1,Unknown,YES
CDKL3,Unknown,YES
CDKL4,Unknown,YES
CDO1,Unknown,YES
CELF2,Unknown,YES
CENPJ,YES,YES
CEP19,YES,YES
CEP43,Unknown,YES
CEP44,Unknown,YES
CEP70,Unknown,YES
CEP78,YES,YES
CEP83,YES,YES
CEP89,YES,YES
CEP97,YES,YES
CEP112,Unknown,YES
CEP120,YES,YES
CEP126,Unknown,YES
CEP128,YES,YES
CEP135,YES,YES
CEP152,Unknown,YES
CEP162,YES,YES
CEP290,YES,YES
CERKL,Unknown,YES
CERS3,Unknown,YES
CERS6,Unknown,YES
CES1,Unknown,YES
CETN2,YES,YES
CFAP20,Unknown,YES
CFAP20DC,Unknown,YES
CFAP43,YES,YES
CFAP44,Unknown,YES
CFAP45,Unknown,YES
CFAP46,Unknown,YES
CFAP47,YES,YES
CFAP52,YES,YES
CFAP53,YES,YES
CFAP54,YES,YES
CFAP57,YES,YES
CFAP58,YES,YES
CFAP61,Unknown,YES
CFAP65,YES,YES
CFAP69,YES,YES
CFAP70,YES,YES
CFAP73,Unknown,YES
CFAP74,Unknown,YES
CFAP77,Unknown,YES
CFAP91,Unknown,YES
CFAP97D1,Unknown,YES
CFAP99,Unknown,YES
CFAP100,YES,YES
CFAP126,YES,YES
CFAP157,YES,YES
CFAP161,YES,YES
CFAP206,Unknown,YES
CFAP221,YES,YES
CFAP251,YES,YES
CFAP298,YES,YES
CFAP299,Unknown,YES
CFAP300,YES,YES
CFD,Unknown,YES
CFI,Unknown,YES
CGB8,Unknown,YES
CHKA,Unknown,YES
CHMP4B,YES,YES
CHORDC1,Unknown,YES
CHSY1,Unknown,YES
CIBAR1,YES,YES
CIBAR2,YES,YES
CIT,Unknown,YES
CLASP2,Unknown,YES
CLDN7,Unknown,YES
CLDN18,Unknown,YES
CLEC4M,Unknown,YES
CLEC9A,Unknown,YES
CLEC16A,Unknown,YES
CLHC1,Unknown,YES
CLIC5,Unknown,YES
CLIP1,Unknown,YES
CLRN1,YES,YES
CNGA3,Unknown,YES
CNNM2,Unknown,YES
CNOT10,Unknown,YES
