SCAPER,Ciliary,NO
SPAG17,Ciliary,YES
SPATA4,Unknown,YES
SPATA17,Unknown,YES
SPEF1,Ciliary,YES
SPEF2,Ciliary,YES
SSNA1,Ciliary,YES
STIL,Ciliary,NO
STPG2,Unknown,NO
TAF1C,Unknown,NO
TBC1D19,Unknown,NO
TEX9,Unknown,YES
TMEM67,Ciliary,YES
TMEM181,Unknown,YES
TMEM231,Ciliary,YES
TPPP,Unknown,YES
TPPP2,Ciliary,YES
TPPP3,Unknown,YES
TRAF3IP1,Ciliary,YES
TRIM13,Unknown,YES
TRIM47,Unknown,NO
TTC5,Unknown,YES
TTC16,Unknown,YES
TTC21A,Unknown,YES
TTC21B,Ciliary,YES
TTC26,Ciliary,YES
TTC29,Ciliary,YES
TTC30A,Ciliary,YES
TTC30B,Ciliary,YES
UBFD1,Unknown,NO
UBXN11,Unknown,YES
UNC119,Unknown,YES
UNC119B,Unknown,YES
VASH1,Unknown,NO
VASH2,Unknown,NO
WDR35,Ciliary,YES
WDR54,Unknown,YES
ZC2HC1A,Unknown,YES
ZC2HC1B,Unknown,NO
ZMYND10,Ciliary,YES
ZMYND12,Unknown,YES
ZNF474,Unknown,YES
