gene	set.1.n.umi	set.2.n.umi	set.1.tpm	set.2.tpm	higher.expr	log2.ratio	precision1	precision2	pct.1	pct.2	f.score	p.val	q.val
casy-1	2448	7172	6435.77563128444	484.191099449829	Set 1	3.72948904024126	0.185909980430528	0.814090019569472	0.579773321708806	0.071218939542164	0.281541066892464	0	0
R102.2	1292	105	3373.2792949076	3.4595409862012	Set 1	9.56304083434435	0.899122807017544	0.100877192982456	0.35745422842197	0.00112502445705341	0.511540860885839	0	0
che-3	1075	548	2865.72400199485	32.2079302141485	Set 1	6.43122805478184	0.540960451977401	0.459039548022599	0.333914559721011	0.00794854235961651	0.412938005390836	0	0
F34D10.6	860	223	2431.5768802641	12.6592057501756	Set 1	7.47587479957827	0.709677419354839	0.290322580645161	0.210985178727114	0.00242124828800626	0.325268817204301	0	0
nlp-20	1847	545	5937.76396483317	33.3569256649993	Set 1	7.43317498825851	0.5	0.5	0.131647776809067	0.0036930150655449	0.208419599723948	0	0
gcy-11	826	636	2585.83145981686	14.6034195007053	Set 1	7.37262220412807	0.185745140388769	0.814254859611231	0.0749782040104621	0.00922030913715515	0.106832298136646	0	0
flp-17	1229	190	3035.48283294911	3.19507942039949	Set 1	9.49901217503426	0.711538461538462	0.288461538461538	0.0645161290322581	0.00073371160242614	0.118305355715428	0	0
unc-54	58	545231	212.767161361883	7205.62066138077	Set 2	5.07501055311591	0.00290883291947499	0.997091167080525	0.035745422842197	0.343719428683232	0.511212556608406	0	0
far-1	73	312507	180.853962921079	5928.23345564784	Set 2	5.02674999239679	0.00237906423473434	0.997620935765266	0.028770706190061	0.338436705145764	0.505414635037163	0	0
ttn-1	612	877450	1686.13268583948	24586.2771033487	Set 2	3.86520795103651	0.00516640634386639	0.994833593656134	0.0749782040104621	0.405008804539229	0.575659609969757	0	0
F13E9.15	659	103	1651.04124747583	2.49942050859443	Set 1	8.88204441104282	0.795811518324607	0.204188481675393	0.132519616390584	0.000953825083153982	0.227204783258595	3.39219049581204e-318	5.1613720298551e-315
cab-1	2452	15151	6587.94602096213	806.939708961067	Set 1	3.02750919063778	0.125636363636364	0.874363636363636	0.602441150828248	0.11761396986891	0.207913344365879	1.24189824469003e-308	1.73213757678142e-305
unc-15	29	287743	80.5077152963773	3397.45194574598	Set 2	5.38137270778249	0.00150025004167361	0.998499749958326	0.015693112467306	0.292995499902172	0.45304995651023	3.58271599966809e-289	4.61260905280345e-286
let-2	49	277017	160.573480246105	4273.73941661341	Set 2	4.72523661814877	0.00160595663917074	0.998394043360829	0.019180470793374	0.334499119546077	0.501108322494367	1.74596167078545e-285	2.08729717742401e-282
unc-89	142	302302	452.402509724094	7039.49165434367	Set 2	3.95660696872412	0.00310157663478935	0.996898423365211	0.041848299912816	0.377323420074349	0.547441629408842	6.32083818306503e-278	7.05279124466396e-275
F27C1.11	594	94	1667.31997731504	3.96403372300107	Set 1	8.39180236843611	0.804195804195804	0.195804195804196	0.20052310374891	0.00136959499119546	0.321004884856943	4.37849005017301e-276	4.5801742481091e-273
cpna-2	111	298063	307.515538758497	5378.11149095873	Set 2	4.12368460391623	0.00409416581371546	0.995905834186285	0.05231037489102	0.356950694580317	0.525538771762418	1.0281318144772e-272	1.01222601052381e-269
emb-9	25	180129	61.1578925663453	2894.92679708398	Set 2	5.54144546687949	0.000928217821782178	0.999071782178218	0.010462074978204	0.315887301897867	0.480005946187008	2.29169515622953e-267	2.13089454610075e-264
unc-22	144	250451	422.568723808643	6188.4338077713	Set 2	3.86890636272525	0.0025755727260404	0.99742442727396	0.033129904097646	0.359909998043436	0.528952949211028	1.73821518730175e-259	1.53118460999312e-256
ida-1	2175	9402	6291.19850554369	736.280592483894	Set 1	3.09304919771717	0.166443551985721	0.833556448014279	0.650392327811683	0.0913715515554686	0.265055960206076	1.34913408304289e-253	1.12902285739444e-250
ist-1	733	1547	2040.94320845904	64.5036306580826	Set 1	4.96151735522364	0.221433640880057	0.778566359119943	0.272013949433304	0.0268293875953825	0.244131455399061	4.72604113449242e-230	3.76665478419046e-227
egl-3	2354	11734	6059.18517907166	849.870166446066	Set 1	2.83211288325858	0.168048229088169	0.831951770911831	0.583260680034874	0.0810017609078458	0.260920436817473	6.56493417440571e-227	4.99442287622856e-224
myo-3	12	135649	29.6761094125585	1934.80090308912	Set 2	5.97892578564665	0.000872524212546898	0.999127475787453	0.00871839581517001	0.280057718646057	0.437486866988863	3.26581292099221e-226	2.37651786341942e-223
Y47D7A.13	33	127733	81.043388437283	2446.26225391957	Set 2	4.89804819030275	0.00360750360750361	0.996392496392496	0.013077593722755	0.10132557229505	0.183945300359632	3.51181027091908e-223	2.44904868768219e-220
dig-1	171	187670	491.242805100955	5493.61605708671	Set 2	3.48031406138593	0.00477511776472866	0.995224882235271	0.0645161290322581	0.377201134807278	0.547060388401171	7.31462200248607e-217	4.89699313822437e-214
ost-1	7	136753	37.9248405419904	1835.67217746577	Set 2	5.55947349937957	0.000412745583622255	0.999587254416378	0.004359197907585	0.296150459792604	0.456926153730048	4.39171319279754e-213	2.82708091184048e-210
lev-11	36	187871	105.564451820786	2339.66132692637	Set 2	4.45650154673069	0.00174578102917948	0.998254218970821	0.018308631211857	0.29368029739777	0.453842810438989	4.82517477029626e-212	2.99107222705365e-209
tank-1	832	4144	1824.6535300024	126.350714133804	Set 1	3.84074359245376	0.0688582852065749	0.931141714793425	0.135135135135135	0.051261983956173	0.0912301353737493	1.39404737752873e-206	8.33291819917799e-204
gei-3	724	7853	2010.65989616947	201.748058818564	Set 1	3.30990906315499	0.0652065704330513	0.934793429566949	0.228421970357454	0.0918606926237527	0.101452081316554	2.25711728149779e-206	1.30266799794581e-203
mup-2	18	125735	35.1970744985392	1664.62655029285	Set 2	5.52318164150538	0.00109419166590681	0.998905808334093	0.010462074978204	0.267927020152612	0.422524346736091	6.01752585550288e-200	3.35717767478506e-197
apl-1	1657	19658	4555.48958175703	808.460067581988	Set 1	2.49257429371253	0.0744595676541233	0.925540432345877	0.486486486486487	0.169634122480923	0.129151718551094	1.37297886850787e-198	7.4127572007149e-196
clik-1	20	155547	69.9397669137709	1849.588680503	Set 2	4.70446607341894	0.00119948329950175	0.998800516700498	0.011333914559721	0.264747603208765	0.41855159880911	8.79785778133218e-197	4.60155455269239e-194
mig-6	17	94522	32.5741452388295	1651.09797401231	Set 2	5.61993124954265	0.000812215724496426	0.999187784275504	0.00871839581517001	0.300870671101546	0.462481203007519	5.51718512855682e-196	2.79821598474714e-193
ram-2	29	124501	118.944793184009	2291.30685063147	Set 2	4.25572823999538	0.00304806565064478	0.996951934349355	0.011333914559721	0.103991391117198	0.18833743051403	2.176755961423e-193	1.07154013312755e-190
W05F2.7	447	363	1040.28482174952	8.50339906155925	Set 1	6.77431925402608	0.45823927765237	0.54176072234763	0.176983435047951	0.00586969281940912	0.255345911949686	2.40295349798954e-192	1.1490923627386e-189
