Gene_name|Publication|Pub_number
ATG5|Cilia Carta (TJP van Dam et al.)|13
ATG5|GO CC Cilium|15
ATG5|Nogales-Cadenas R. et al.|46
ATG7|Cilia Carta (TJP van Dam et al.)|13
ATG7|GO CC Cilium|15
ATG9B|Alexander E. Ivliev et al|8
ATG9B|Geremek M. et al. 2014|42
ATIC|Andersen et al.|9
ATIC|Andersen et al.|9
ATIC|Gabrielle Wheway|27
ATIC|Monika-Abedin-Sigg et al.|30
ATIC|Marshall et al.|55
ATL1|Alexander E. Ivliev et al|8
ATL1|Lambacher N. et al.|17
ATL2|Karsten Boldt et al.|16
ATL3|Ross et al.|22
ATM|Alexander E. Ivliev et al|8
ATM|Monika-Abedin-Sigg et al.|30
ATN1|Pazour et al.|21
ATOH8|Ross et al.|22
ATOX1|Phirke et al.|3
ATOX1|Monika-Abedin-Sigg et al.|30
ATP10A|Gabrielle Wheway|27
ATP10A|Yano J. et al.|50
ATP10B|Ross et al.|22
ATP10B|Fritz-Laylin L.K. et Cande|49
ATP10B|Marshall et al.|55
ATP10B|Blacque et al._xbox|54
ATP11A|Mayer et al. 2009|19
ATP11B|Pazour et al.|21
ATP11B|Monika-Abedin-Sigg et al.|30
ATP12A|Alexander E. Ivliev et al|8
ATP12A|Pazour et al.|21
ATP12A|Ross et al.|22
ATP12A|Gabrielle Wheway|27
ATP12A|Lauwaet T. et al.|40
ATP13A1|McClintock et al.|29
ATP13A2|Marshall et al.|55
ATP13A3|Blacque et al._xbox|54
ATP13A3|Blacque et al._xbox|54
ATP13A5|Mayer et al. 2009|19
ATP13A5|Gabrielle Wheway|27
ATP13A5|Marshall et al.|55
ATP1A1|Mayer et al. 2009|19
ATP1A1|Gabrielle Wheway|27
ATP1A1|Liu et al.|28
ATP1A1|Mayer et al. 2008|51
ATP1A2|Liu et al.|28
ATP1A2|Yano J. et al.|50
ATP1A3|Mayer et al. 2009|19
ATP1A3|Liu et al.|28
ATP1A3|Mayer et al. 2008|51
ATP1A4|Liu et al.|28
ATP1B1|Alexander E. Ivliev et al|8
ATP1B1|Mayer et al. 2009|19
ATP1B1|Liu et al.|28
ATP1B1|Monika-Abedin-Sigg et al.|30
ATP1B1|Mayer et al. 2008|51
ATP1B2|Liu et al.|28
ATP1B3|Mayer et al. 2009|19
ATP1B3|Liu et al.|28
ATP1B3|Mayer et al. 2008|51
ATP2A1|Phirke et al.|3
ATP2A1|Monika-Abedin-Sigg et al.|30
ATP2A2|Bayesian (TJP van Dam et al.)|11
ATP2A2|Cilia Carta (TJP van Dam et al.)|13
ATP2A2|Mayer et al. 2009|19
ATP2A2|Liu et al.|28
ATP2A2|Mayer et al. 2008|51
ATP2A3|Mayer et al. 2009|19
ATP2A3|Ross et al.|22
ATP2A3|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ATP2A3|Yano J. et al.|50
ATP2A3|Mayer et al. 2008|51
ATP2B1|Alexander E. Ivliev et al|8
ATP2B1|Mayer et al. 2009|19
ATP2B1|Pazour et al.|21
ATP2B1|Liu et al.|28
ATP2B1|Yano J. et al.|50
ATP2B1|Mayer et al. 2008|51
ATP2B2|Cilia Carta (TJP van Dam et al.)|13
ATP2B2|GO CC Cilium|15
ATP2B2|Karsten Boldt et al.|16
ATP2B2|Pazour et al.|21
ATP2B2|Liu et al.|28
ATP2B2|Yano J. et al.|50
ATP2B3|Liu et al.|28
ATP2B3|Monika-Abedin-Sigg et al.|30
ATP2B3|Boesger J et al.|37
ATP2B3|Fritz-Laylin L.K. et Cande|49
ATP2B3|Yano J. et al.|50
ATP2B4|Cilia Carta (TJP van Dam et al.)|13
ATP2B4|GO CC Cilium|15
ATP2B4|Liu et al.|28
ATP2B4|Lauwaet T. et al.|40
ATP2B4|Yano J. et al.|50
ATP2C1|Ross et al.|22
ATP2C1|Liu et al.|28
ATP4B|Alexander E. Ivliev et al|8
ATP4B|Geremek M. et al. 2011|41
ATP5F1A|Kilburn et al.|1
ATP5F1A|Hannah Müller et al.|6
ATP5F1A|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ATP5F1A|McClintock et al.|29
ATP5F1B|Kilburn et al.|1
ATP5F1B|Hannah Müller et al.|6
ATP5F1C|Kilburn et al.|1
ATP5F1C|McClintock et al.|29
ATP5F1C|Monika-Abedin-Sigg et al.|30
ATP5F1D|Gabrielle Wheway|27
ATP5F1D|Monika-Abedin-Sigg et al.|30
ATP5F1D|Broadhead et al.|32
ATP5F1E|Karsten Boldt et al.|16
ATP5PB|Gabrielle Wheway|27
ATP5PB|Monika-Abedin-Sigg et al.|30
ATP5F1A|Andersen et al.|9
ATP5F1A|Andersen et al.|9
ATP5F1A|Mayer et al. 2008|51
ATP5F1A|Blacque et al._sage|56
ATP5F1B|Andersen et al.|9
ATP5F1B|Andersen et al.|9
ATP5F1B|Mayer et al. 2008|51
ATP5F1B|Nakachi M. et al.|39
ATP5PD|Karsten Boldt et al.|16
ATP5PD|Monika-Abedin-Sigg et al.|30
ATP5ME|Laurençon et al.|7
ATP5ME|Karsten Boldt et al.|16
ATP5PF|Monika-Abedin-Sigg et al.|30
ATP5MG|McClintock et al.|29
ATP5MG|Monika-Abedin-Sigg et al.|30
ATP5MC2|Alexander E. Ivliev et al|8
ATP5MD|Andersen et al.|9
ATP5ME|Hodges ME. et al.|38
ATP5MG|Alexander E. Ivliev et al|8
ATP5MG|Andersen et al.|9
ATP5MG|Blacque et al._xbox|54
ATP5PO|Kilburn et al.|1
ATP5PO|Karsten Boldt et al.|16
ATP5PO|Monika-Abedin-Sigg et al.|30
ATP5PB|Mayer et al. 2008|51
ATP5PD|Mayer et al. 2008|51
ATP5PF|Hodges ME. et al.|38
DMAC2L|Laurençon et al.|7
DMAC2L|SYSCILIA Gold Standard (van Dam TJ et al.)|24
DMAC2L|Marshall et al.|55
DMAC2|McClintock et al.|29
ATP6AP1|Gabrielle Wheway|27
ATP6AP2|Efimenko et al.|2
ATP6AP2|McClintock et al.|29
ATP6V0A1|Liu et al.|28
ATP6V0A1|Mayer et al. 2008|51
ATP6V0A4|Geremek M. et al. 2011|41
ATP6V0A4|Geremek M. et al. 2014|42
ATP6V0C|Gabrielle Wheway|27
ATP6V0D1|Cilia Carta (TJP van Dam et al.)|13
ATP6V0D1|GO CC Cilium|15
ATP6V0D1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ATP6V0D1|Gabrielle Wheway|27
ATP6V0D1|Liu et al.|28
ATP6V0D1|McClintock et al.|29
ATP6V0D1|Mayer et al. 2008|51
ATP6V0D1|Marshall et al.|55
ATP6V0D1|Blacque et al._xbox|54
ATP6V0D2|Gabrielle Wheway|27
ATP6V0E2|Alexander E. Ivliev et al|8
ATP6V0E2-AS1|Alexander E. Ivliev et al|8
ATP6V1A|Kilburn et al.|1
ATP6V1A|Hannah Müller et al.|6
ATP6V1A|Liu et al.|28
ATP6V1A|McClintock et al.|29
ATP6V1A|Monika-Abedin-Sigg et al.|30
ATP6V1A|Fritz-Laylin L.K. et Cande|49
ATP6V1B1|Ross et al.|22
ATP6V1B1|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ATP6V1B2|Kilburn et al.|1
ATP6V1B2|Pazour et al.|21
ATP6V1B2|Gabrielle Wheway|27
ATP6V1B2|Liu et al.|28
ATP6V1B2|McClintock et al.|29
ATP6V1B2|Monika-Abedin-Sigg et al.|30
ATP6V1B2|Fritz-Laylin L.K. et Cande|49
ATP6V1B2|Mayer et al. 2008|51
ATP6V1C1|Bayesian (TJP van Dam et al.)|11
ATP6V1C1|Cilia Carta (TJP van Dam et al.)|13
ATP6V1C1|Ross et al.|22
ATP6V1C1|Liu et al.|28
ATP6V1C1|Mayer et al. 2008|51
ATP6V1C1|Marshall et al.|55
ATP6V1C2|Ross et al.|22
ATP6V1D|Alexander E. Ivliev et al|8
ATP6V1D|Cilia Carta (TJP van Dam et al.)|13
ATP6V1D|GO CC Cilium|15
ATP6V1D|Liu et al.|28
ATP6V1D|Mayer et al. 2008|51
ATP6V1E1|Pazour et al.|21
ATP6V1E1|Gabrielle Wheway|27
ATP6V1E1|Liu et al.|28
ATP6V1E1|McClintock et al.|29
ATP6V1E1|Monika-Abedin-Sigg et al.|30
ATP6V1E1|Mayer et al. 2008|51
ATP6V1E2|Alexander E. Ivliev et al|8
ATP6V1E2|Gabrielle Wheway|27
ATP6V1F|Liu et al.|28
ATP6V1F|McClintock et al.|29
ATP6V1F|Blacque et al._xbox|54
ATP6V1G1|Liu et al.|28
ATP6V1G2|Pazour et al.|21
ATP6V1H|Alexander E. Ivliev et al|8
ATP6V1H|Liu et al.|28
ATP6V1H|Mayer et al. 2008|51
ATP6V1H|Marshall et al.|55
ATP7B|Pazour et al.|21
ATP7B|Ross et al.|22
ATP8A1|Laurençon et al.|7
ATP8A1|Kim J. et al.|44
ATP8A1|Yano J. et al.|50
ATP8A2|Cilia Carta (TJP van Dam et al.)|13
ATP8A2|GO CC Cilium|15
ATP8A2|Liu et al.|28
ATP8A2|Yano J. et al.|50
ATP8B2|Alexander E. Ivliev et al|8
ATP8B2|Ross et al.|22
ATP8B2|Monika-Abedin-Sigg et al.|30
ATP8B2|Yano J. et al.|50
ATP8B3|McClintock et al.|29
ATP8B3|Ramona A. Hoh et al.|31
ATP8B5P|Alexander E. Ivliev et al|8
ATP9A|Gabrielle Wheway|27
ATP9A|Geremek M. et al. 2014|42
ATP9A|Blacque et al._xbox|54
ATP9B|McClintock et al.|29
ATP5IF1|Lambacher N. et al.|17
ATP5IF1|Monika-Abedin-Sigg et al.|30
ATP5IF1|Geremek M. et al. 2011|41
ATR|Alexander E. Ivliev et al|8
ATR|Ross et al.|22
ATR|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ATR|Ramona A. Hoh et al.|31
ATR|Nogales-Cadenas R. et al.|46
ATR|Marshall et al.|55
ATRN|Phirke et al.|3
ATRNL1|Efimenko et al.|2
ATRNL1|Lambacher N. et al.|17
ATRNL1|Pazour et al.|21
ATRNL1|McClintock et al.|29
ATRX|Karsten Boldt et al.|16
ATX2L|David U. Mick et al.|26
ATXN1|Semil P. Choksi et al.|23
ATXN1|Gabrielle Wheway|27
ATXN1|Geremek M. et al. 2014|42
