Gene_name|Publication|Pub_number
BBS5|Blacque et al._xbox|54
BBS7|Efimenko et al.|2
BBS7|Phirke et al.|3
BBS7|Chen et al.|12
BBS7|Cilia Carta (TJP van Dam et al.)|13
BBS7|Dey G et al.|14
BBS7|GO CC Cilium|15
BBS7|Karsten Boldt et al.|16
BBS7|Lambacher N. et al.|17
BBS7|Li et al.|18
BBS7|Semil P. Choksi et al.|23
BBS7|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS7|David K. Breslow et al.|25
BBS7|Liu et al.|28
BBS7|McClintock et al.|29
BBS7|Monika-Abedin-Sigg et al.|30
BBS7|Ramona A. Hoh et al.|31
BBS7|Merchant et al.|35
BBS7|Nogales-Cadenas R. et al.|46
BBS7|Fritz-Laylin L.K. et Cande|49
BBS7|Hodges ME. et al.|38
BBS7|Blacque et al._xbox|54
TTC8|Bechstedt et al.|5
BBS9|Efimenko et al.|2
BBS9|Phirke et al.|3
BBS9|Alexander E. Ivliev et al|8
BBS9|Chen et al.|12
BBS9|Cilia Carta (TJP van Dam et al.)|13
BBS9|Dey G et al.|14
BBS9|GO CC Cilium|15
BBS9|Karsten Boldt et al.|16
BBS9|Lambacher N. et al.|17
BBS9|Li et al.|18
BBS9|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS9|David K. Breslow et al.|25
BBS9|Liu et al.|28
BBS9|McClintock et al.|29
BBS9|Monika-Abedin-Sigg et al.|30
BBS9|Ramona A. Hoh et al.|31
BBS9|Merchant et al.|35
BBS9|Fritz-Laylin L.K. et Cande|49
BBS9|Hodges ME. et al.|38
BBS9|Blacque et al._xbox|54
BBX|Avidor-Reiss et al.|4
BBX|Karsten Boldt et al.|16
BB_0513|Ostrowski et al.|20
BC003883|Gabrielle Wheway|27
BC010304|Liu et al.|28
BC016201|Liu et al.|28
BC017158|Gabrielle Wheway|27
BC018371|Liu et al.|28
BC022687|McClintock et al.|29
BC022687|Ramona A. Hoh et al.|31
BC028440|Liu et al.|28
BC029214|Gabrielle Wheway|27
BC029684|Liu et al.|28
BC030307|Semil P. Choksi et al.|23
BC037034|Gabrielle Wheway|27
BC038479|Liu et al.|28
BC048562|Monika-Abedin-Sigg et al.|30
BC049635|Gabrielle Wheway|27
BC049730|Gabrielle Wheway|27
BC051665|Gabrielle Wheway|27
BC057079|Liu et al.|28
BC068281|Gabrielle Wheway|27
BC089491|Gabrielle Wheway|27
BCAN|Gabrielle Wheway|27
BCAP31|Phirke et al.|3
BCAP31|Mayer et al. 2009|19
BCAP31|Liu et al.|28
BCAP31|Mayer et al. 2008|51
BCAR3|Alexander E. Ivliev et al|8
BCAR3|Ross et al.|22
BCAR3|Jakobsen L. et al.|43
BCAR3|Nogales-Cadenas R. et al.|46
