,clusters,scores
0,1,0.6111111111111112
1,2,0.6944444444444444
2,3,0.8055555555555556
3,4,0.6944444444444444
4,5,0.7083333333333334
5,6,0.6527777777777778
6,7,0.6111111111111112
7,8,0.6666666666666666
8,9,0.5694444444444444
9,10,0.7222222222222222
10,11,0.5972222222222222
11,12,0.7361111111111112
12,13,0.6111111111111112
13,14,0.6111111111111112
14,15,0.625
15,16,0.75
16,17,0.6805555555555556
17,18,0.7222222222222222
18,19,0.75
19,20,0.6944444444444444
20,21,0.6527777777777778
21,22,0.7638888888888888
22,23,0.8055555555555556
23,24,0.7916666666666666
24,25,0.5972222222222222
25,26,0.625
26,27,0.6805555555555556
27,28,0.6527777777777778
28,29,0.7777777777777778
29,30,0.7916666666666666
30,31,0.9722222222222222
31,32,0.6111111111111112
32,33,0.5694444444444444
33,34,0.8194444444444444
34,35,0.6666666666666666
35,36,0.6388888888888888
36,37,0.9583333333333334
37,38,0.7638888888888888
38,39,0.75
39,40,0.6111111111111112
