HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol
HGNC:20792	Approved	SLC35A5	FLJ20730	
HGNC:20798	Approved	SLC35B1	UGTREL1	
HGNC:20798	Approved	SLC35B1	AXER	
HGNC:16872	Approved	SLC35B2	UGTrel4	
HGNC:21601	Approved	SLC35B3	CGI-19	C6orf196
HGNC:21601	Approved	SLC35B3	dJ453H5.1	C6orf196
HGNC:21601	Approved	SLC35B3	PAPST2	C6orf196
HGNC:20584	Approved	SLC35B4	FLJ14697	
HGNC:20584	Approved	SLC35B4	YEA4	
HGNC:20197	Approved	SLC35C1	FUCT1	
HGNC:20197	Approved	SLC35C1	FLJ11320	
HGNC:17117	Approved	SLC35C2	CGI-15	C20orf5
HGNC:17117	Approved	SLC35C2	CGI-15	OVCOV1
HGNC:17117	Approved	SLC35C2	bA394O2.1	C20orf5
HGNC:17117	Approved	SLC35C2	bA394O2.1	OVCOV1
HGNC:54894	Approved	SLC35C2P1		
HGNC:20800	Approved	SLC35D1	UGTREL7	
HGNC:20800	Approved	SLC35D1	KIAA0260	
HGNC:20799	Approved	SLC35D2	UGTrel8	
HGNC:20799	Approved	SLC35D2	SQV7L	
HGNC:15621	Approved	SLC35D3		FRCL1
HGNC:20803	Approved	SLC35E1	FLJ14251	
HGNC:42046	Approved	SLC35E1P1		
HGNC:20863	Approved	SLC35E2A	KIAA0447	SLC35E2
HGNC:33941	Approved	SLC35E2B		
HGNC:20864	Approved	SLC35E3	BLOV1	
HGNC:17058	Approved	SLC35E4		
HGNC:21483	Approved	SLC35F1	dJ230I3.1	C6orf169
HGNC:23615	Approved	SLC35F2	FLJ13018	
HGNC:23616	Approved	SLC35F3	FLJ37712	
HGNC:41027	Approved	SLC35F3-AS1		
HGNC:19845	Approved	SLC35F4	FLJ37712	C14orf36
HGNC:23617	Approved	SLC35F5	FLJ22004	
HGNC:26055	Approved	SLC35F6	FLJ20555	C2orf18
HGNC:26055	Approved	SLC35F6	ANT2BP	C2orf18
HGNC:26055	Approved	SLC35F6	TANGO9	C2orf18
HGNC:26607	Approved	SLC35G1	FLJ33990	TMEM20
HGNC:26607	Approved	SLC35G1	C10orf60	TMEM20
HGNC:28480	Approved	SLC35G2	MGC3295	TMEM22
HGNC:28480	Approved	SLC35G2	DKFZp564K2464	TMEM22
HGNC:26848	Approved	SLC35G3	FLJ40154	TMEM21A
